r,count,elasticity,reliable,reference,low,high
0.0,0,0.0000,0,0.0000,0.0000,0.0000
25.0,0,0.0000,0,1.9000,0.0000,0.0000
50.0,0,0.0000,0,1.9000,0.0000,10.0000
75.0,1,0.0000,0,1.9000,0.0000,10.0000
100.0,1,0.0000,0,1.9000,0.0000,10.0000
125.0,1,0.0000,0,1.9000,0.0000,10.0000
150.0,1,0.0000,0,1.9000,0.0000,10.0000
175.0,1,0.0000,0,1.9000,0.0000,10.0000
200.0,1,0.0000,0,1.9000,0.0000,6.6667
225.0,1,0.0000,0,1.9000,0.0000,6.0000
250.0,1,0.0000,0,1.9000,0.0000,5.5556
275.0,1,0.0000,0,1.9000,0.0000,5.0000
300.0,2,5.0000,0,1.9000,0.0000,4.4444
325.0,2,0.0000,0,1.9000,0.0000,4.2857
350.0,2,0.0000,0,1.9000,0.0000,4.0000
375.0,4,5.0000,0,1.9000,0.0000,4.1176
400.0,7,5.7143,0,1.9000,0.0000,3.9130
425.0,10,5.0000,0,1.9000,0.4762,3.7037
450.0,18,5.0000,0,1.9000,0.4000,3.7500
475.0,44,7.2727,1,1.9000,0.6667,3.5000
500.0,66,7.2727,1,1.9000,0.5882,3.6364
525.0,81,4.8148,1,1.9000,0.6897,3.4211
550.0,92,3.2609,1,1.9000,0.6667,3.3333
575.0,102,2.2549,1,1.9000,0.7692,3.2353
600.0,110,2.2727,1,1.9000,0.7692,3.1746
625.0,115,1.8261,1,1.9000,0.8511,3.0952
650.0,123,1.2195,1,1.9000,0.9615,3.0612
675.0,139,1.7986,1,1.9000,0.9615,3.0508
700.0,147,2.0408,1,1.9000,0.9259,3.0233
725.0,148,1.5541,1,1.9000,1.0526,3.0303
750.0,153,0.9150,1,1.9000,1.0127,2.9412
775.0,157,0.6369,1,1.9000,1.0606,2.8571
800.0,164,0.9756,1,1.9000,1.1111,2.7500
825.0,169,0.9467,1,1.9000,1.0390,2.7586
850.0,180,1.3333,1,1.9000,1.1250,2.7027
875.0,187,1.4973,1,1.9000,1.1392,2.7174
900.0,196,1.5816,1,1.9000,1.1458,2.7551
925.0,220,2.1818,1,1.9000,1.1304,2.6667
950.0,232,2.1552,1,1.9000,1.1828,2.6415
975.0,241,2.2407,1,1.9000,1.2121,2.6549
1000.0,254,2.2835,1,1.9000,1.2500,2.6471
1025.0,262,1.6794,1,1.9000,1.2605,2.6829
1050.0,272,1.5809,1,1.9000,1.2583,2.6316
1075.0,281,1.4591,1,1.9000,1.3115,2.5781
1100.0,282,1.1702,1,1.9000,1.2977,2.5714
1125.0,290,1.1724,1,1.9000,1.3043,2.6087
1150.0,298,1.0738,1,1.9000,1.3253,2.5309
1175.0,306,1.0784,1,1.9000,1.3333,2.5000
1200.0,315,1.0794,1,1.9000,1.3260,2.4590
1225.0,329,1.4286,1,1.9000,1.3636,2.4731
1250.0,341,1.4956,1,1.9000,1.3812,2.4490
1275.0,353,1.6147,1,1.9000,1.3636,2.4365
1300.0,372,1.8548,1,1.9000,1.3793,2.4324
1325.0,388,1.8814,1,1.9000,1.3825,2.4171
1350.0,399,1.9048,1,1.9000,1.3613,2.4215
1375.0,409,1.7848,1,1.9000,1.3942,2.4272
1400.0,423,1.7730,1,1.9000,1.4027,2.4074
1425.0,440,1.7955,1,1.9000,1.3846,2.4231
1450.0,450,1.6667,1,1.9000,1.4286,2.4400
1475.0,455,1.4286,1,1.9000,1.4000,2.4031
